lat,lon,pano_id,color
6.47,3.204,a4O6MxrD1TBqYNwL0cieTA,#588CC7
6.472,3.244,uxPdSYH4Z4pdo1mhE_sU6A,#588CC7
6.473,3.246,bo74rY8Sa-ULtAhGvROkpw,#588CC7
6.474,3.249,_X6rgn0XK5l7xEKKGpxRZw,#588CC7
6.476,3.203,wErmi0EKpPEe5SM5qvEZOA,#588CC7
6.48,3.247,dznFIOMIT-4bn1nfOOUT6A,#588CC7
6.493,3.212,iVJE1-8NZzNgELj4k9XAjQ,#588CC7
6.494,3.214,DZ6pgXmhF05t_FOEsxlxkw,#588CC7
6.495,3.217,QSeU4wVSGtGA6QqMEZjGyg,#588CC7
6.497,3.222,laInR0FGnoLo83mP-X177w,#588CC7
6.498,3.207,mKYLfpI90xoHXkvH3qZ7JA,#588CC7
6.499,3.21,fLsHWUahGC-Cp_LxVzfIMg,#588CC7
6.498,3.242,brQoIVlTHxaYSGolAlQReA,#588CC7
6.499,3.244,OZCvxsITLC6gMfhWh1Untw,#588CC7
6.5,3.246,3buWFr8OWq0wOQnwybm8XA,#588CC7
6.501,3.213,UIf3kTSfV-u9YECDRqE07g,#588CC7
6.501,3.247,5iZAonYiOYWioZL_4KLBgw,#588CC7
6.502,3.249,kTIhWLIBKRa4GK7agkMIsQ,#588CC7
6.504,3.2,bG3eL-DOxIWGkZcZF_Z2qA,#588CC7
6.506,3.203,HpKV0vTkbKM7-CyilHlnug,#588CC7
6.506,3.221,su6QI0JMyUbm1_K7I4I2bw,#588CC7
6.507,3.222,Y8830D5MBWDHRbc2culnfQ,#588CC7
6.507,3.205,0q8N_rKRPxHfTU0uuKLxAw,#588CC7
6.508,3.224,VX5rE63-_4Fh1P05OWls4A,#588CC7
6.509,3.225,BSYHGy8BWt3v4-1ncnDzWw,#588CC7
6.51,3.227,17i_vYBeMhLd4DBFMg3y_A,#588CC7
6.51,3.244,k1ew7w2V7npfl3YyqDIjiw,#588CC7
6.509,3.242,arkZzjt5WscEJKYOJNxpww,#588CC7
6.511,3.246,tE4Nmt_clB8tiqG1Bcqqkg,#588CC7
6.512,3.247,1iIRMeIJCOOj_GEwPzv54w,#588CC7
6.515,3.2,q9zfB68p6TURNi-66QD8oQ,#588CC7
6.514,3.233,CJNQmu6b8Ht5pO8EciIgTA,#588CC7
6.513,3.249,ECKsdX9ifVz568-j2z1qiA,#588CC7
6.515,3.235,8W_SAUoT1iUGYRc6aff7Og,#588CC7
6.517,3.203,YGBQMqMcu46sWlQl3QtUyg,#588CC7
6.516,3.236,zJvLoUyBOazXDBw1hkTnnA,#588CC7
6.518,3.205,g2VXC1vPhE_zy4718fRY2g,#588CC7
6.517,3.238,SmnKLOIAGuR5Z2SCOs8H3w,#588CC7
6.519,3.206,lhW2SX2hLk-EFIE9qLXv1g,#588CC7
6.519,3.241,GMWJFSdidC2lrRkWUU-SpQ,#588CC7
6.52,3.242,9DUWjrq7VspHD7on377XsQ,#588CC7
6.521,3.244,GRwls-rejhqbqxqg8-kYQw,#588CC7
6.521,3.227,D9D1pEyCAYFgHehdVxqxyg,#588CC7
6.522,3.228,BbrzseqQzvyw0pA4F_iY_g,#588CC7
6.522,3.245,3-F3isq8OrGzpJURLaZzEg,#588CC7
6.523,3.213,bCRIcfVgArgZlSxaN_zFCw,#588CC7
6.522,3.211,bX4SAodjznii3Rn1HyCvoQ,#588CC7
6.523,3.247,WfIXuDI2ED0VV2V-2hoI2w,#588CC7
6.523,3.23,yJ6_ExF1ZGkWbdceN1LLDw,#588CC7
6.524,3.214,Z1pi87xJ5UdAILCeARe7cg,#588CC7
6.524,3.249,GmcWoAA5LiVwsQ4M5fWmYg,#588CC7
6.525,3.216,jm0ZTzRyZ3HJr4XrI8MrQQ,#588CC7
6.524,3.231,QLsZNeHjbTlW0db9ZStrXw,#588CC7
6.526,3.235,zz6G7xHakKM-mQlQMiq0gQ,#588CC7
6.525,3.233,WpqPqaf8lOZsAXulmymyFA,#588CC7
6.526,3.217,D0E16hyaUXTyKVMYgBNHFg,#588CC7
6.527,3.236,kFN0CgJoHpB9TUT2Ak5e6Q,#588CC7
6.527,3.219,ytlUWTM-vN3WEpJG5kQHyQ,#588CC7
6.528,3.22,RY2SD1_Oud30PY9wKRmbAg,#588CC7
6.528,3.238,9RnOhrYqpiLC1jyJkum3-Q,#588CC7
6.529,3.239,vyuH_lziBJkFDmcjDUu9lQ,#588CC7
6.529,3.222,epMKDXHYYTYziJPOpH1dOw,#588CC7
6.53,3.241,L8LHhPkrB4Y_URMljhigMg,#588CC7
6.53,3.224,vcMsrlcEuf_ESdMC2p6oHQ,#588CC7
6.531,3.225,8UbXv8eaET8z27FMRlGYLg,#588CC7
6.531,3.242,1u0loTxpy8WxPHc3fsDsDw,#588CC7
